timestamp, focused_object
0,none
3.188889,Projector Screen,Screen
3.2,Projector Screen,Screen
3.211111,Projector Screen,Screen
3.222222,Projector Screen,Screen
3.233333,Projector Screen,Screen
3.244445,Projector Screen,Screen
3.255556,Projector Screen,Screen
3.266667,Projector Screen,Screen
3.277778,Projector Screen,Screen
3.288889,Projector Screen,Screen
3.3,Projector Screen,Screen
3.311111,Projector Screen,Screen
3.322222,Projector Screen,Screen
3.333333,Projector Screen,Screen
3.344445,Projector Screen,Screen
3.355556,Projector Screen,Screen
3.366667,Projector Screen,Screen
3.377778,Projector Screen,Screen
3.388889,Projector Screen,Screen
3.4,Projector Screen,Screen
3.411111,Projector Screen,Screen
3.422222,Projector Screen,Screen
3.433333,Projector Screen,Screen
3.444444,Projector Screen,Screen
3.455556,Projector Screen,Screen
3.466667,Projector Screen,Screen
3.477778,Projector Screen,Screen
3.488889,Projector Screen,Screen
3.5,Projector Screen,Screen
3.511111,Projector Screen,Screen
3.522222,Projector Screen,Screen
3.533333,Projector Screen,Screen
3.544445,Projector Screen,Screen
3.555556,Projector Screen,Screen
3.566667,Projector Screen,Screen
3.577778,Projector Screen,Screen
3.588889,Projector Screen,Screen
3.6,Projector Screen,Screen
3.611111,Projector Screen,Screen
3.622222,Projector Screen,Screen
3.633333,Projector Screen,Screen
3.644444,Projector Screen,Screen
3.655556,Projector Screen,Screen
3.666667,Projector Screen,Screen
3.677778,Projector Screen,Screen
3.688889,Projector Screen,Screen
3.7,Projector Screen,Screen
3.711111,Projector Screen,Screen
3.722222,Projector Screen,Screen
3.733333,Projector Screen,Screen
3.744445,Projector Screen,Screen
3.755556,Projector Screen,Screen
3.766667,Projector Screen,Screen
3.777778,Projector Screen,Screen
3.788889,Projector Screen,Screen
3.8,Projector Screen,Screen
3.811111,Projector Screen,Screen
3.822222,Projector Screen,Screen
3.833333,Projector Screen,Screen
3.844445,Projector Screen,Screen
3.855556,Projector Screen,Screen
3.866667,Projector Screen,Screen
3.877778,Projector Screen,Screen
3.888889,Projector Screen,Screen
3.9,Projector Screen,Screen
3.911111,Projector Screen,Screen
3.922222,Projector Screen,Screen
